Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8076666666666666,0.6868250539956804,0.23963828183873398,0.3553072625698324,0.7076355036089734
Decision Tree,0.8163333333333334,0.654320987654321,0.359457422758101,0.46400778210116733,0.7449846969983088
Random Forest,0.8171666666666667,0.6652298850574713,0.34890730972117556,0.45773603559070686,0.773306336921477
